section,title,institution,division,department,salary_range,agency_insertion_num,application_deadline,keywords,description_date
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Associate Professor, Full Professor ",Hebrew University of Jerusalem,,Department of Economics,,,2022-07-31 00:00:00,All Fields,2021-12-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Hertie School,,,,,2021-10-31 00:00:00,economics /Hertie /assistant professor/macroeconomics /Berlin /Germany /public policy /finance /budget,2021-10-31
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Sustainability,Hertie School,,,competitive,,2021-10-31 00:00:00,Sustainability/Economics/Hertie School/Berlin/Public Policy,2021-10-31
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Hillsdale College,,,,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Open Rank - Demography,Hunter College - City University of New York,,,,,2021-08-31 00:00:00,Demography of well-being /Health and healthcare/Economics ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Senior Lecturer,Illinois Institute of Technology,,Social Sciences,Negotiable and dependent upon the candidate’s previous experience and qualifications.,,2022-01-31 00:00:00,General social sciences,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Professor, Associate Professor, and Assistant Professor ",Indian Institute of Management Ahmedabad,,Economics Area,,,2021-11-15 00:00:00,Empirical Industrial Organization/Law and Economics/International Economics/Macroeconomics/Public Economics/Labor Economics,2021-11-15
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor/ Associate Professor/ Professor, Economics",Indian Institute of Technology Kanpur,,Department of Economic Sciences,,,2022-01-31 00:00:00,,2021-11-15
Full-Time Nonacademic,"Senior Analyst, Antitrust and Innovation Policy",Information Technology and Innovation Foundation (ITIF),,,,,2022-01-31 00:00:00,Antitrust/Innovation/Productivity/Competitiveness,
Full-Time Nonacademic,Economist,Institute for Defense Analyses,CARD and SFRD,SAC Research and Analysis,,,2022-01-31 00:00:00,Computation/Industrial organization/Applied econometrics/Labor/Health/Public finance/Defense /National Security ,
Full-Time Nonacademic,"Managing Director, Center on the Economics of Reproductive Health",Institute for Women’s Policy Research ,,Research ,"$115,000-$150,000",,2022-01-31 00:00:00,Reproductive Health Economics/Gender Economics/Public health economics ,
Full-Time Nonacademic,"Managing Director, Economic Security, Mobility, and Equity",Institute for Women’s Policy Research ,,Research ,"$115,000-$150,000",,2022-01-31 00:00:00,workforce development and the future of work/employment and earnings/income security and equitable workplace policies/economic mobility and advancement for women and younger workers in the labor market /childcare and the care economy,
Full-Time Nonacademic,"Managing Director, Race, Ethnicity, Gender and the Economy",Institute for Women’s Policy Research ,,Research ,"$115,000-$150,000",,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Research Fellow/ Associate Research Fellow/ Research Fellow (equivalent to Assistant Professor/ Associate Professor/ Professor),"Institute of Economics, Academia Sinica (IEAS)",,,,,2022-01-01 00:00:00,,2021-12-31
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,Instituto Tecnológico Autónomo de México (ITAM),Center for Economic Research (CIE),Economics,,,2021-11-28 00:00:00,,2021-11-28
Full-Time Nonacademic,Research Economist,Inter-American Development Bank,,Research Department,,,,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Joint Position in Economics and Business Strategy,Interdisciplinary Center (IDC) Herzliya,,Arison School of Business &amp; Tiomkin School of Economics ,,,,,2021-12-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer/Senior Lecturer/Associate Professor/Full Professor,Interdisciplinary Center (IDC) Herzliya,,Tiomkin School of Economics ,,,,,2021-12-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,International Business School of Zhejiang Gongshang University,,,Competitive,,2022-01-31 00:00:00,Economics/Statistics/Finance/Business Administration/Accounting/Management Science/Information Techniques,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Teaching Professor - Agricultural Economics,Iowa State University,,Department of Economics,,,2022-01-31 00:00:00,• Agricultural Business and Economics/• Economic education and Teaching of Economics,
Full-Time Nonacademic,Economist,ISO New England,,,,,2022-01-31 00:00:00,"Market design, energy, electricity, public policy, energy economics",
Full-Time Nonacademic,Government Official,Japan Fair Trade Commission,,,,,2022-01-31 00:00:00,industrial organization/econometrics/applied statistics/competition/antitrust/Japan/economist/anti-monopoly act,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Faculty Program Coordinator, Applied Economics",Johns Hopkins University,Zanvyl Krieger School of Arts and Sciences,Advanced Academic Programs ,,,2022-01-31 00:00:00,,2022-01-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions In Finance,KAIST College of Business,,,,,2021-11-08 00:00:00,,2021-11-08
Full-Time Nonacademic,Energy and Climate Systems Modeler,"KeyLogic Systems, LLC",Energy,Energy Markets Analysis Team (EMAT),,,2022-01-31 00:00:00,energy economy modeling/energy economics/Econometric analysis/MARKAL/GCAM/WEPS/WEPS-Plus/GAMS/economic impacts of energy research,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor of Economics,Koc University,College of Administrative Sciences and Economics,Economics,,,2022-01-31 00:00:00,JEL Classification: 00 -- Default: Any Field,2021-12-31
Full-Time Nonacademic,Research Fellow,Korea Development Institute,,,,,2021-09-30 00:00:00,"Korea, KDI, Policy Research, Research in Economics, Economic Policy",
Full-Time Nonacademic,Associate Research Fellow,Korea Energy Economics Institute (KEEI),,,,,2021-12-06 00:00:00,Microeconomics/Macroeconomics/Energy Economics/Econometrics and Statistics/Financial Economics/Public Finance/International Economics/Resource Economics/Environmental Economics/Industrial Organization/Regional Economics,
Full-Time Nonacademic,Research Fellow,Korea Insurance Research Institute,,,,,2021-08-15 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor,Korea University,Business School,Finance,,,2022-01-31 00:00:00,Financial Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Academic Position in Economic Theory,KU Leuven,Faculty of Economics and Business,Economics,,,2021-11-15 00:00:00,Economic Theory,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Academic Position in Environmental or Energy Economics,KU Leuven,Faculty of Economics and Business,Economics,,,2021-11-15 00:00:00,Environmental economics /Energy economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor of Economics, Business and Finance",Lake Forest College,,,,,2021-12-01 00:00:00,,2021-12-01
US: Other Academic (Visiting or Temporary),Visiting Assistant Professor of Economics,Lewis &amp; Clark College,College of Arts and Sciences,Economics,,,2022-01-31 00:00:00,Economics/Statistics/Macroeconomics,2021-11-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor / Associate Professor / Assistant Professor,Lingnan University,,Department of Economics,,,2022-01-31 00:00:00,Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Finance,London School of Economics and Political Science,,Department of Finance,Salary is competitive with Departments at our peer institutions worldwide.,,2021-11-25 00:00:00,Finance/London,2021-10-23
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Louisiana State University,,Economics,,,2021-12-05 00:00:00,"Labor, Applied Micro",2021-12-05
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Loyola Marymount University,,Economics,,,2021-11-30 00:00:00,Macroeconomics,2021-11-30
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Head of Department of Economics, Macquarie Business School",Macquarie University,Department of Economics,,,,,Head of Economics,
Full-Time Nonacademic,Senior Economist,Manaaki Whenua Landcare Research,Landscape Policy and Governance Team,Empirical Economics Cluster,,,2021-10-29 00:00:00,Natural resource economics/Environmental economics,2021-10-09
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Massachusetts Institute of Technology,,Department of Economics,,,,Assistant Professor/Assistant/Professor/Economics/Graduate Program/Tenure Track/Phd,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor Without Tenure,Massachusetts Institute of Technology,Sloan School of Management,,,1543249,2022-01-31 00:00:00,"Entrepreneurship, Innovation, Strategy",2021-10-06
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,McGill University,,Department of Economics,Salary will be commensurate with qualifications and experience.,,2022-03-31 00:00:00,Economics/Any Field,2021-10-28
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Spencer Family Professorship in Economics - Associate Professor, Tenured",McMaster University,,Department of Economics,,,,Applied Microeconomics/Empirical Microeconomics,2021-10-15
Full-Time Nonacademic,"Vice President: Data, Research &amp; Policy",Metro Vancouver,,,,,2022-07-31 00:00:00,,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)","Freelance Researcher Bench: Urban Economics, Housing and Real Estate",MetroSight,,,,,2022-01-31 00:00:00,Urban Economics/Housing/Land use/Real Estate,
US: Other Academic (Visiting or Temporary),Research Associate-Fixed Term - 715815,Michigan State University,,"Department of Agricultural, Food, and Resource Economics",60000.00,169550,2022-01-31 00:00:00,,
US: Other Academic (Visiting or Temporary),Dean's Research Associates (Postdoc) Program,Michigan State University,College of Social Science,Department of Economics,,,2021-10-15 00:00:00,Post Doc in Economics,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",John Richard Butler II Professor,Michigan State University,School of Human Resources and Labor Relations,,,,2022-06-30 00:00:00,future of work/technology,2021-10-15
Full-Time Nonacademic,Research Economist,Microsoft,Technology and Research,Office of the Chief Economist,,,2021-11-15 00:00:00,Applied Econometrics/Industrial Organization/Microeconomics,
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Post-Doctoral Researcher in Economics,Microsoft Research,,,,,2021-11-15 00:00:00,"We are hiring in applied theory and applied micro, including behavioral, development, digitization, econometrics, game theory, health, labor, IO, machine learning, market design, public, and related fields.",
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Missouri State University,College of Humanities and Public Affairs,Department of Economics,,,2021-11-01 00:00:00,Macroeconomics/Poverty/Well-being/GIS,2021-11-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Steinmeyer Endowed Department Chair of Economics,Missouri University of Science and Technology,"Kummer Institute for Student Success, Research and Economic Development",Economics,,,2021-12-31 00:00:00,Economics/Missouri,2021-10-15
Full-Time Nonacademic,Climate Research Associate,Moody's Analytics,Predictive Analytics,Analytics &amp; Modeling,TBD,,2022-01-31 00:00:00,Climate/Capital markets/Risk management/Risk/Analytics/Research/Corporate credit,
Full-Time Nonacademic,ESG Research Associate,Moody's Analytics,Predictive Analytics,Analytics &amp; Modeling,TBD,,2022-01-31 00:00:00,Environment/Social/Government/ESG/Climate/Global/Capital markets/Risk management/Risk/Analytics/Research/Corporate credit,
Full-Time Nonacademic,Research Associate,Moody's Analytics,Predictive Analytics,Analytics &amp; Modeling,TBD,,2022-01-31 00:00:00,Capital markets/Risk management /Risk/Analytics/Research/Corporate credit,
Full-Time Nonacademic,Economist,Moody's Corporation,,,,,2021-11-30 00:00:00,Macroeconomics/Forecasting/Economic Modeling/Economic Analysis/Data Analytics,
Full-Time Nonacademic,Assistant Director - Senior Data Scientist ,Moody's Corporation,Data Solutions ,DS Media Solutions,,21280BR,2022-01-31 00:00:00,Data Scientist/News Industry/NewsEdge/Moody's Analytics/Data/Data Solutions/machine learning/AI/Open Source/NLP,
US: Other Academic (Visiting or Temporary),"Post-Doctoral Fellow, Aging and Health Research",National Bureau of Economic Research,,,,,2021-12-09 00:00:00,Economics of Aging/Health Care/Health Economics,
US: Other Academic (Visiting or Temporary),"Post-Doctoral Fellow, Economics of an Aging Workforce",National Bureau of Economic Research,,,,,2021-12-09 00:00:00,Older Workers/Labor Market,
US: Other Academic (Visiting or Temporary),"Post-Doctoral Fellow, Retirement and Disability Policy Research",National Bureau of Economic Research,,,,,2021-12-09 00:00:00,Social Security/Retirement/Disability/Health/Employment/Social Insurance,
US: Other Academic (Visiting or Temporary),"Pre-Doctoral Fellow, Aging and Health Research",National Bureau of Economic Research,,,,,2021-12-09 00:00:00,Economics of Aging/Health Care/Health Economics,
US: Other Academic (Visiting or Temporary),"Pre-Doctoral Fellow, Retirement and Disability Policy Research",National Bureau of Economic Research,,,,,2021-12-09 00:00:00,Social Security/Retirement/Disability/Health/Employment/Social Insurance,
US: Other Academic (Visiting or Temporary),"Visiting Scholar, Aging and Health Research ",National Bureau of Economic Research,,,,,2021-10-25 00:00:00,Economics of Aging/Health Care/Health Economics,2021-10-12
"Other Nonacademic (Temporary, Part-Time, Non-Salaried, Consulting, Etc.)",Full Time Research Assistant,"National Bureau of Economic Research, Inc.",,Research,,1243,2022-01-31 00:00:00,Genoeconomics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,National Chengchi University,,Department of Money and Banking,,,2022-07-31 00:00:00,"Finance, Financial Institution Management, Quantitative Finance, Monetary Economics, Financial Economics",2022-02-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor of Economics (any level),National Graduate Institute for Policy Studies,,,,,2022-02-28 00:00:00,Economics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,National University of Singapore,,Department of Economics,,,2021-11-15 00:00:00,Applied microeconomics/Macroeconomics/Economic theory,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Lecturer/Senior Lecturer ,National University of Singapore,,Economics,,,2021-11-15 00:00:00,Macroeconomics,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Open Rank Positions of Assistant, Associate, and Full Professor",Nazarbayev University ,School of Sciences and Humanities ,Department of Economics ,,,2022-07-31 00:00:00,,2021-10-19
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Teaching Professor ,NC State University,College of Agriculture &amp; Life Sciences,Agricultural and Resource Economics (ARE),Commensurate with Experience,,2022-01-31 00:00:00,Agribusiness Marketing//Agribusiness Management//Agricultural Finance,
Full-Time Nonacademic,Consultant (Experienced Hire),NERA Economic Consulting,,,,,2021-11-14 00:00:00,Industrial Organization/Applied Econometrics/Applied Microeconomics/Economics,
Full-Time Nonacademic,Consultant (Job Market),NERA Economic Consulting,,,,,2022-11-14 00:00:00,Industrial Organization/Applied Econometrics/Applied Microeconomics/Economics,2021-11-14
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant , Associate and  Full Tenure-Track Professor",New Economic School,,Economics Department,,,2022-01-31 00:00:00,,2021-11-15
Full-Time Nonacademic,Economist,New York City Independent Budget Office,,,"$80,000 to $110,000, depending on experience.",,2021-10-19 00:00:00,,
Full-Time Nonacademic,NYU Furman Center Post-Doctoral Research Fellowship,New York University,NYU School of Law,NYU Furman Center,,,2022-01-31 00:00:00,Urban Economics/Law and Economics/Real Estate/Land Use,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Finance,New York University,Stern School of Business,Finance,,,2021-11-30 00:00:00,Finance/Economics,2021-11-30
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Lecturer, Assistant Professor, Associate Professor, Professor",Ningbo University,Business School,,,,2022-01-31 00:00:00,International Trade/Finance/Economics /Business Management/Accounting/Information Management And System,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,North Dakota State University,,Agribusiness and Applied Economics,Commensurate with experience.,,2021-10-15 00:00:00,,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics ,Northwestern University,,Department of Economics ,,,2021-11-23 00:00:00,,2021-11-23
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions in Managerial Economics and Decision Sciences,Northwestern University,Kellogg School of Management,Managerial Economics and Decision Sciences Department,,173290,2021-11-15 00:00:00,pure and applied microeconomic theory/game theory/development economics/political economy,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate or Full (tenure track) Professor in the field of Economics ",Nova School of Business and Economics,,Economics,,,2021-11-28 00:00:00,Development; Growth/Econometrics/Environmental; Ag. Econ./Experimental Economics/Industrial Organization/Labor; Demographic Economics/Macroeconomics; Monetary/Microeconomics/Public Economics/Behavioral Economics/Urban; Rural; Regional Economics/Health; Education; Welfare/Computational Economics/Political Economy.,2021-11-28
Full-Time Nonacademic,Housing Solutions Lab Research Director,NYU Furman Center for Real Estate and Urban Policy,,,,,2022-01-31 00:00:00,Urban Economics/Real Estate/Land Use/Law and Economics,
US: Other Academic (Visiting or Temporary),Visiting Assistant Professor of Economics,Oberlin College,,Department of Economics,,,2021-09-30 00:00:00,Microeconomics/Industrial Organization/Public Economics/Labor Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Oberlin College,College of Arts &amp; Sciences,Economics,,,2021-11-15 00:00:00,International Economics/Industrial Organization/Open-Economy Macroeconomics/Econometrics,2021-11-15
Full-Time Nonacademic,Economists - Research Associate,Optimal Solutions Group,,,,,2022-07-31 00:00:00,,
Full-Time Nonacademic,Senior Transportation Economist,Oregon Department of Transportation,Finance and Budget Division,Financial &amp; Economic Analysis,"$6,436 to 9,485 per month",REQ-69089,2022-01-31 00:00:00,"Transportation Economist, Economist, State Government, Government Job, Oregon, Pacific Northwest",
Full-Time Nonacademic,Economist,"OSKR, LLC","Emeryville, CA",San Francisco Bay Area,Based on Experience Level,,2022-01-31 00:00:00,Economic Litigation Consulting,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate or Full Professor",Ozyegin University,Business School,International Finance,,,2021-12-17 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate, or Full Professor",Ozyegin University,Faculty of Business,Economics,,,2021-12-15 00:00:00,Any Field,
Full-Time Nonacademic,Financial Economist,"PCAOB,  Public Company Accounting Oversight Board",Office of Economic and Risk Analysis,,,,2022-07-31 00:00:00,Financial Economist/Accounting or Audit Policy/Regulatory,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant / Associate Professor of Economics,Peking University,,School of Economics,,,2021-11-27 00:00:00,Financial Economics/International Economics/Public Finance/Economic History/Development Economics/Risk Management and Insurance,2021-11-27
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professors,Peking University,,The Institute of New Structural Economics (INSE),,,2021-11-20 00:00:00,Faculty/Tenure track/INSE/Economics,2021-10-21
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Economics,Peking University HSBC Business School,,,,,2022-01-31 00:00:00,Peking University HSBC Business School invites applications from well-qualified candidates for multiple positions at all levels (Assistant/Associate/Full Professor) and in all areas of Economics.,2021-10-22
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Pepperdine University,Social Science,Economics,,,2021-12-01 00:00:00,Econometrics/Macroeconomics,
Full-Time Nonacademic,"Quantitative Research Analyst, Portfolio Mgmt. Analytics",PIMCO,,,,,2022-01-31 00:00:00," asset pricing, /economic theory/optimization /empirical research/time series /panel data econometrics/SAS/R/Python/C++, ",2021-10-06
Full-Time Nonacademic,"Quantitative Research Analyst, Client Solutions",PIMCO,Client Solutions and Analytics,,,,2022-01-31 00:00:00,empirical research/time series /panel data econometrics/Python/Matlab/asset pricing/economic theory/optimization methods,2021-10-06
Full-Time Nonacademic,Senior Economist,"Pinnacle Executive Search, LLC",,,"$200,000 - $500,000",,2022-01-31 00:00:00,Economist - Expert witness testimony,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor,Pontificia Universidad Católica de Chile,,Economics Department,,,2021-11-26 00:00:00,Economics Department/Assistant or Associate Professor/Pontificia Universidad Católica de Chile,2021-11-26
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate or Full Professor, Quantitative Methods",Princeton University,,Department of Politics,,,2021-09-13 00:00:00,Quantitative Methods,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor,Princeton University,,Economics,,,2022-01-31 00:00:00,Econometrics,
US: Other Academic (Visiting or Temporary),Visiting Research Scholar,Princeton University,,Economics,,,2022-01-31 00:00:00,International Economics/Fellowship,2021-10-22
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor,Princeton University,,Economics and School of Public and International Affairs,,,2022-01-31 00:00:00,Development,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor,Princeton University,,Economics and School of Public and International Affairs,,,2022-01-31 00:00:00,Macroeconomics/International Macroeconomics,
US: Other Academic (Visiting or Temporary),Fung Global Fellows Program,Princeton University,,Princeton Institute for International and Regional Studies,Competitive,,2021-11-15 00:00:00,,2021-11-15
US: Other Academic (Visiting or Temporary),Laurance S. Rockefeller Visiting Faculty Fellowships ,Princeton University,,University Center for Human Values,,,2021-11-01 00:00:00,,2021-11-01
US: Other Academic (Visiting or Temporary),Postdoctoral Research Associate,Princeton University,Niehaus Center for Globalization and Governance,School for Public and International Affairs,Competitive,,2022-11-20 00:00:00,"International and comparative political economy;//International organization and global governance, and globalization",2021-11-20
US: Other Academic (Visiting or Temporary),Postdoctoral Research Associate in Regional Political Economy,Princeton University,Niehaus Center for Globalization and Governance,School for Public and International Affairs,Competitive,,2022-12-06 00:00:00,"Regional Political Economy;/Middle East, East, South, or Southeast Asia, Africa and Latin America",2021-12-06
US: Other Academic (Visiting or Temporary),Postdoctoral Research Associate - International Economics ,Princeton University,Social Sciences,Economics,,,2022-08-01 00:00:00,International Economics,2022-01-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Purdue University,Krannert School of Management,Economics,competitive,,2022-01-31 00:00:00,Assistant professor of Economics/Purdue University,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Clinical Assistant/Associate Professor,Purdue University,Krannert School of Management,Economics,competitive,,2022-02-15 00:00:00,"Clinical Assistant/ Associate Professor of Economics/Purdue University , West Lafayette, IN",
International: Other Academic (Visiting or Temporary),Post- Doctoral Position in Economics,Qatar University ,Economics ,College of Business and Economics ,70- 95 K USD,2713,2022-01-31 00:00:00,"Environmental Economics, Energy Economics, Behavioural Economics  ",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Professor/Reader in Applied Microeconomics ,Queen Mary University of London,,School of Economics and Finance,"From £55,840",,,Applied Microeconomics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant or Associate Professor,Queens College,Social Science,Economics,competitive,,2022-07-31 00:00:00,finance,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Questrom School of Business - Boston University,,"Markets, Public Policy and Law Department",,,2022-01-31 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant Professor, Economics",Rensselaer Polytechnic Institute,"School of Humanities, Arts, and Social Sciences",Economics,,,2021-11-15 00:00:00,Health Economics/Innovation/Research and Development/Technological Change/Intellectual Property Rights/Economic Impacts of Globalization/Econometric Modeling,2021-11-15
International: Other Academic (Visiting or Temporary),Hausdorff Postdocs,Rheinische Friedrich-Wilhelms-Universität Bonn,,Hausdorff Center for Mathematics,,,2021-10-15 00:00:00,Theoretical Mathematics/Applied Mathematics/Mathematical Economics/Quantitative Economics,2021-10-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Finance (seasoned or rookie),Rice University,Jones Graduate School of Business,,,,2021-11-16 00:00:00,,2021-11-16
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate Professor,Rice University,School of Social Sciences,Economics,,,2022-07-31 00:00:00,,2021-12-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Associate/Full Professor,Rice University,School of Social Sciences,Economics,,,2022-07-31 00:00:00,,2021-12-01
Full-Time Nonacademic,Mid/Senior Level Research Economist,RTI International,"Comprehensive Health Innovation, Research, and Policy Division",Health Care Financing and Payment,,,2021-12-31 00:00:00,Health Economics/Health care policy/Medicare &amp; Medicaid/health care financing,
Full-Time Nonacademic,Senior Food &amp; Agricultural Economist ,RTI International ,Social Statistical and Environmental Sciences ,Environmental Engineering and Economics ,,,2022-07-31 00:00:00,Food &amp; Agricultural Economist /Econometric modeling /Food systems modeling/Environmental topics/Equilibrium Modeling / ,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor - Empirical Microeconomics,"Rutgers, The State University of New Jersey",Social and Behavioral Sciences,Economics,,,2022-02-28 00:00:00,Empirical microeconomics/Labor/Health/History/Public Finance/Development/Environment/Industrial Organization/Other empirical microeconomics,2021-12-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Saint Michael's College,,Economics,,,2022-01-31 00:00:00,Assistant Professor Economics,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assisant Professor in Finance,Saint Vincent College,"Alex G. McKenna School of Business, Economics, and Government",Business,,,2022-01-31 00:00:00,"corporate finance, investments, analysis of financial statements, derivates, analysis of financial statements, international finance",
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Full Professor/ Associate Professor/ Assistant Professor of Applied Economics,"School of Management, Fudan University",, Department of Applied Economics,,,2022-01-31 00:00:00,,
Full-Time Nonacademic,Economist,Secretariat Economists LLC,,,,,2022-01-31 00:00:00,Microeconomic Analysis Antitrust Regulatory,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor,Shanghai Maritime University School of Economics &amp; Management,,,negotiable,,2022-01-31 00:00:00,Finance/Economics/Accounting/Applied economics/Operational research,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Senior Professor,Shanghai University of Finance and Economics,School of Economics,,,,2021-12-01 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure-Track Faculty Positions in Finance,"Shanghai University of Finance and Economics (SUFE), School of Finance",,,,,2021-11-21 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Tenure -Track Position - Strategy,Simon Fraser University,,Beedie School of Business,,,2022-10-15 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Assistant, Associate or Full Professor ",Singapore Management University,School of Economics,,,,2021-12-01 00:00:00,Econometrics/Macroeconomics,2021-12-01
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor of Economics,Smith College,,Economics,,,2021-11-15 00:00:00, Behavioral Economics,2021-11-15
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor,Southern Methodist University,Dedman College,Economics,,,2021-12-01 00:00:00,Quantitative Methods/Public Economics/Health and Education/Economic Development       /Environmental /Regional and Urban,2021-12-01
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant /Associate / Full Professor of Marketing (Quantitative),Southern University of Science and Technology (SUSTech),,,,,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant/Associate/Full Professor in Department of Finance,Southern University of Science and Technology (SUSTech),,,,,2022-06-30 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",Faculty Positions in the Department of Mathematics,Southern University of Science and Technology (SUSTech),,,,,2022-01-31 00:00:00,,
"International:Full-Time Academic (Permanent, Tenure Track or Tenured)",SUSTech Business School-Faculty Position Recruiting,Southern University of Science and Technology (SUSTech),,,,,2022-06-30 00:00:00,,
"US: Full-Time Academic (Permanent, Tenure Track or Tenured)",Assistant Professor in Economics,St. Norbert College,Donald J. Schneider School of Business and Economics,Economics,,,2022-01-31 00:00:00,,
